CODGEO;REG;DEP;LIBGEO;Zone en vigueur depuis le 5 juillet 2024;Reclassement juillet 2024
58034;27;58;Blismes;C;Non
58035;27;58;Bona;C;Non
58036;27;58;Bouhy;C;Non
58037;27;58;Brassy;C;Non
58038;27;58;Breugnon;C;Non
58039;27;58;Brèves;C;Non
58040;27;58;Brinay;C;Non
58041;27;58;Brinon-sur-Beuvron;C;Non
58042;27;58;Bulcy;C;Non
58043;27;58;Bussy-la-Pesle;C;Non
58044;27;58;La Celle-sur-Loire;C;Non
58045;27;58;La Celle-sur-Nièvre;C;Non
58046;27;58;Cercy-la-Tour;C;Non
58047;27;58;Cervon;C;Non
58048;27;58;Cessy-les-Bois;C;Non
58049;27;58;Chalaux;C;Non
58050;27;58;Challement;C;Non
58051;27;58;Challuy;B2;Non
58052;27;58;Champallement;C;Non
58053;27;58;Champlemy;C;Non
58054;27;58;Champlin;C;Non
58055;27;58;Champvert;C;Non
58056;27;58;Champvoux;C;Non
58057;27;58;Chantenay-Saint-Imbert;C;Non
58058;27;58;La Chapelle-Saint-André;C;Non
58059;27;58;La Charité-sur-Loire;C;Non
58060;27;58;Charrin;C;Non
58061;27;58;Chasnay;C;Non
58062;27;58;Château-Chinon (Ville);C;Non
58063;27;58;Château-Chinon (Campagne);C;Non
58064;27;58;Châteauneuf-Val-de-Bargis;C;Non
58065;27;58;Châtillon-en-Bazois;C;Non
58066;27;58;Châtin;C;Non
58067;27;58;Chaulgnes;C;Non
58068;27;58;Chaumard;C;Non
58069;27;58;Chaumot;C;Non
58070;27;58;Chazeuil;C;Non
58071;27;58;Chevannes-Changy;C;Non
58072;27;58;Chevenon;C;Non
58073;27;58;Chevroches;C;Non
58074;27;58;Chiddes;C;Non
58075;27;58;Chitry-les-Mines;C;Non
58076;27;58;Chougny;C;Non
58077;27;58;Ciez;C;Non
58078;27;58;Cizely;C;Non
58079;27;58;Clamecy;C;Non
58080;27;58;La Collancelle;C;Non
58081;27;58;Colméry;C;Non
58082;27;58;Corancy;C;Non
58083;27;58;Corbigny;C;Non
58084;27;58;Corvol-d'Embernard;C;Non
58085;27;58;Corvol-l'Orgueilleux;C;Non
58086;27;58;Cosne-Cours-sur-Loire;C;Non
58087;27;58;Cossaye;C;Non
58088;27;58;Coulanges-lès-Nevers;B2;Non
58089;27;58;Couloutre;C;Non
58090;27;58;Courcelles;C;Non
58092;27;58;Crux-la-Ville;C;Non
58093;27;58;Cuncy-lès-Varzy;C;Non
58094;27;58;Dampierre-sous-Bouhy;C;Non
58095;27;58;Decize;C;Non
58096;27;58;Devay;C;Non
58097;27;58;Diennes-Aubigny;C;Non
58098;27;58;Dirol;C;Non
58099;27;58;Dommartin;C;Non
58101;27;58;Dompierre-sur-Nièvre;C;Non
58102;27;58;Donzy;C;Non
58103;27;58;Dornecy;C;Non
58104;27;58;Dornes;C;Non
58105;27;58;Druy-Parigny;C;Non
58106;27;58;Dun-les-Places;C;Non
58107;27;58;Dun-sur-Grandry;C;Non
58108;27;58;Empury;C;Non
58109;27;58;Entrains-sur-Nohain;C;Non
58110;27;58;Epiry;C;Non
58111;27;58;Fâchin;C;Non
58112;27;58;La Fermeté;C;Non
58113;27;58;Fertrève;C;Non
58114;27;58;Fléty;C;Non
58115;27;58;Fleury-sur-Loire;C;Non
58116;27;58;Flez-Cuzy;C;Non
58117;27;58;Fourchambault;B2;Non
58118;27;58;Fours;C;Non
58119;27;58;Frasnay-Reugny;C;Non
58120;27;58;Gâcogne;C;Non
58121;27;58;Garchizy;B2;Non
58122;27;58;Garchy;C;Non
58123;27;58;Germenay;C;Non
58124;27;58;Germigny-sur-Loire;B2;Non
58125;27;58;Gien-sur-Cure;C;Non
58126;27;58;Gimouille;C;Non
58127;27;58;Giry;C;Non
58128;27;58;Glux-en-Glenne;C;Non
58129;27;58;Gouloux;C;Non
58130;27;58;Grenois;C;Non
58131;27;58;Guérigny;C;Non
58132;27;58;Guipy;C;Non
58133;27;58;Héry;C;Non
58134;27;58;Imphy;C;Non
58135;27;58;Isenay;C;Non
58136;27;58;Jailly;C;Non
58137;27;58;Lamenay-sur-Loire;C;Non
58138;27;58;Langeron;C;Non
58139;27;58;Lanty;C;Non
58140;27;58;Larochemillay;C;Non
58141;27;58;Lavault-de-Frétoy;C;Non
58142;27;58;Limanton;C;Non
58143;27;58;Limon;C;Non
58144;27;58;Livry;C;Non
58145;27;58;Lormes;C;Non
58146;27;58;Lucenay-lès-Aix;C;Non
58147;27;58;Lurcy-le-Bourg;C;Non
58148;27;58;Luthenay-Uxeloup;C;Non
58149;27;58;Luzy;C;Non
58150;27;58;Lys;C;Non
58151;27;58;La Machine;C;Non
58152;27;58;Magny-Cours;C;Non
58153;27;58;Magny-Lormes;C;Non
58154;27;58;La Maison-Dieu;C;Non
58155;27;58;La Marche;C;Non
58156;27;58;Marcy;C;Non
58157;27;58;Marigny-l'Église;C;Non
58158;27;58;Mars-sur-Allier;C;Non
58159;27;58;Marigny-sur-Yonne;C;Non
58160;27;58;Marzy;C;Non
58161;27;58;Maux;C;Non
58162;27;58;Menestreau;C;Non
58163;27;58;Menou;C;Non
58164;27;58;Mesves-sur-Loire;C;Non
58165;27;58;Metz-le-Comte;C;Non
58166;27;58;Mhère;C;Non
58168;27;58;Millay;C;Non
58169;27;58;Moissy-Moulinot;C;Non
58170;27;58;Monceaux-le-Comte;C;Non
58171;27;58;Montapas;C;Non
58172;27;58;Montambert;C;Non
58173;27;58;Montaron;C;Non
58174;27;58;Montenoison;C;Non
58175;27;58;Mont-et-Marré;C;Non
58176;27;58;Montigny-aux-Amognes;C;Non
58177;27;58;Montigny-en-Morvan;C;Non
58178;27;58;Montigny-sur-Canne;C;Non
58179;27;58;Montreuillon;C;Non
58180;27;58;Montsauche-les-Settons;C;Non
58181;27;58;Moraches;C;Non
58182;27;58;Moulins-Engilbert;C;Non
58183;27;58;Mouron-sur-Yonne;C;Non
58184;27;58;Moussy;C;Non
58185;27;58;Moux-en-Morvan;C;Non
58186;27;58;Murlin;C;Non
58187;27;58;Myennes;C;Non
58188;27;58;Nannay;C;Non
58189;27;58;Narcy;C;Non
58190;27;58;Neuffontaines;C;Non
58191;27;58;Neuilly;C;Non
58192;27;58;Neuville-lès-Decize;C;Non
58193;27;58;Neuvy-sur-Loire;C;Non
58194;27;58;Nevers;B2;Non
58195;27;58;La Nocle-Maulaix;C;Non
58196;27;58;Nolay;C;Non
58197;27;58;Nuars;C;Non
58198;27;58;Oisy;C;Non
58199;27;58;Onlay;C;Non
58200;27;58;Ouagne;C;Non
58201;27;58;Oudan;C;Non
58202;27;58;Ougny;C;Non
58203;27;58;Oulon;C;Non
58204;27;58;Vaux d'Amognes;C;Non
58205;27;58;Ouroux-en-Morvan;C;Non
58206;27;58;Parigny-la-Rose;C;Non
58207;27;58;Parigny-les-Vaux;C;Non
58208;27;58;Pazy;C;Non
58209;27;58;Perroy;C;Non
58210;27;58;Planchez;C;Non
58211;27;58;Poil;C;Non
58212;27;58;Poiseux;C;Non
58213;27;58;Pougny;C;Non
58214;27;58;Pougues-les-Eaux;B2;Non
58215;27;58;Pouilly-sur-Loire;C;Non
58216;27;58;Pouques-Lormes;C;Non
58217;27;58;Pousseaux;C;Non
58218;27;58;Prémery;C;Non
58219;27;58;Préporché;C;Non
58220;27;58;Raveau;C;Non
58221;27;58;Rémilly;C;Non
58222;27;58;Rix;C;Non
58223;27;58;Rouy;C;Non
58224;27;58;Ruages;C;Non
58225;27;58;Saincaize-Meauce;B2;Non
58226;27;58;Saint-Agnan;C;Non
58227;27;58;Saint-Amand-en-Puisaye;C;Non
58228;27;58;Saint-Andelain;C;Non
58229;27;58;Saint-André-en-Morvan;C;Non
58230;27;58;Saint-Aubin-des-Chaumes;C;Non
58231;27;58;Saint-Aubin-les-Forges;C;Non
58232;27;58;Saint-Benin-d'Azy;C;Non
58233;27;58;Saint-Benin-des-Bois;C;Non
58234;27;58;Saint-Bonnot;C;Non
58235;27;58;Saint-Brisson;C;Non
58236;27;58;Sainte-Colombe-des-Bois;C;Non
58237;27;58;Saint-Didier;C;Non
58238;27;58;Saint-Éloi;C;Non
58239;27;58;Saint-Firmin;C;Non
58240;27;58;Saint-Franchy;C;Non
58241;27;58;Saint-Germain-Chassenay;C;Non
58242;27;58;Saint-Germain-des-Bois;C;Non
58243;27;58;Saint-Gratien-Savigny;C;Non
58244;27;58;Saint-Hilaire-en-Morvan;C;Non
58245;27;58;Saint-Hilaire-Fontaine;C;Non
58246;27;58;Saint-Honoré-les-Bains;C;Non
58247;27;58;Saint-Jean-aux-Amognes;C;Non
58248;27;58;Saint-Laurent-l'Abbaye;C;Non
58249;27;58;Saint-Léger-de-Fougeret;C;Non
58250;27;58;Saint-Léger-des-Vignes;C;Non
58251;27;58;Saint-Loup-des-Bois;C;Non
58252;27;58;Saint-Malo-en-Donziois;C;Non
58253;27;58;Sainte-Marie;C;Non
58254;27;58;Saint-Martin-d'Heuille;C;Non
58255;27;58;Saint-Martin-du-Puy;C;Non
58256;27;58;Saint-Martin-sur-Nohain;C;Non
58257;27;58;Saint-Maurice;C;Non
58258;27;58;Saint-Ouen-sur-Loire;C;Non
58259;27;58;Saint-Parize-en-Viry;C;Non
58260;27;58;Saint-Parize-le-Châtel;C;Non
58261;27;58;Saint-Père;C;Non
58262;27;58;Saint-Péreuse;C;Non
58263;27;58;Saint-Pierre-du-Mont;C;Non
58264;27;58;Saint-Pierre-le-Moûtier;C;Non
58265;27;58;Saint-Quentin-sur-Nohain;C;Non
58266;27;58;Saint-Révérien;C;Non
58267;27;58;Saint-Saulge;C;Non
58268;27;58;Saint-Seine;C;Non
58269;27;58;Saint-Sulpice;C;Non
58270;27;58;Saint-Vérain;C;Non
58271;27;58;Saizy;C;Non
58272;27;58;Sardy-lès-Épiry;C;Non
58273;27;58;Sauvigny-les-Bois;C;Non
58274;27;58;Savigny-Poil-Fol;C;Non
58275;27;58;Saxi-Bourdon;C;Non
58276;27;58;Sémelay;C;Non
58277;27;58;Sermages;C;Non
58278;27;58;Sermoise-sur-Loire;B2;Non
58279;27;58;Sichamps;C;Non
58280;27;58;Sougy-sur-Loire;C;Non
58281;27;58;Suilly-la-Tour;C;Non
58282;27;58;Surgy;C;Non
58283;27;58;Taconnay;C;Non
58284;27;58;Talon;C;Non
58285;27;58;Tamnay-en-Bazois;C;Non
58286;27;58;Tannay;C;Non
58287;27;58;Tazilly;C;Non
58288;27;58;Teigny;C;Non
58289;27;58;Ternant;C;Non
58290;27;58;Thaix;C;Non
58291;27;58;Thianges;C;Non
58292;27;58;Tintury;C;Non
58293;27;58;Toury-Lurcy;C;Non
58294;27;58;Toury-sur-Jour;C;Non
58295;27;58;Tracy-sur-Loire;C;Non
58296;27;58;Tresnay;C;Non
58297;27;58;Trois-Vèvres;C;Non
58298;27;58;Tronsanges;C;Non
58299;27;58;Trucy-l'Orgueilleux;C;Non
58300;27;58;Urzy;C;Non
58301;27;58;Vandenesse;C;Non
58302;27;58;Varennes-lès-Narcy;C;Non
58303;27;58;Varennes-Vauzelles;B2;Non
58304;27;58;Varzy;C;Non
58305;27;58;Vauclaix;C;Non
58306;27;58;Verneuil;C;Non
