"AUBIGNY EN LAONNOIS";"Aubigny-en-Laonnois";"02820";"02033";3
"AUDIGNICOURT";"Audignicourt";"02300";"02034";3
"AUDIGNY";"Audigny";"02120";"02035";3
"AUGY";"Augy";"02220";"02036";3
"AULNOIS SOUS LAON";"Aulnois-sous-Laon";"02000";"02037";3
"LES AUTELS";"Les Autels";"02360";"02038";3
"AUTREMENCOURT";"Autremencourt";"02250";"02039";3
"AUTREPPES";"Autreppes";"02580";"02040";3
"AUTREVILLE";"Autreville";"02300";"02041";3
"AZY SUR MARNE";"Azy-sur-Marne";"02400";"02042";3
"BAGNEUX";"Bagneux";"02290";"02043";3
"BANCIGNY";"Bancigny";"02140";"02044";3
"BARENTON BUGNY";"Barenton-Bugny";"02000";"02046";3
"BARENTON CEL";"Barenton-Cel";"02000";"02047";3
"BARENTON SUR SERRE";"Barenton-sur-Serre";"02270";"02048";3
"BARISIS";"Barisis";"02700";"02049";3
