,TU99,TAU99,REG,POL99,proba_zone1,proba_zone2,proba_zone3
497,3,3,53,1,0.0,0.0,1.0
498,3,3,54,1,0.0,0.0,1.0
499,3,3,72,1,0.0,0.0,1.0
500,3,3,73,1,0.0,0.0,1.0
501,3,3,82,1,0.0,0.0,1.0
502,3,3,93,1,0.0,0.0,1.0
503,3,4,24,1,0.0,0.0,1.0
504,3,4,25,1,0.0,0.0,1.0
505,3,4,26,1,0.0,0.0,1.0
506,3,4,41,1,0.0,0.0,1.0
507,3,4,52,1,0.0,0.0,1.0
508,3,4,53,1,0.0,0.0,1.0
509,3,4,73,1,0.0,0.0,1.0
510,3,4,74,1,0.0,0.0,1.0
511,3,4,83,1,0.0,0.0,1.0
512,3,5,21,1,0.0,0.0,1.0
513,3,7,31,2,0.0,1.0,0.0
514,3,7,43,2,0.0,0.0,1.0
515,3,7,53,2,0.0,0.0,1.0
516,3,7,91,2,0.0,0.0,1.0
517,3,8,25,2,0.0,0.0,1.0
518,3,8,31,2,0.0,0.0,1.0
519,3,8,41,2,0.0,0.0,1.0
520,3,8,53,2,0.0,0.0,1.0
521,3,8,82,2,0.0,1.0,0.0
522,3,8,91,2,0.0,0.0,1.0
523,3,9,31,2,0.0,0.325190674917,0.674809325083
524,3,9,42,2,0.0,0.543010516126,0.456989483874
525,3,9,52,2,0.0,0.388789175756,0.611210824244
526,3,9,53,2,0.0,0.0,1.0
527,3,9,72,2,0.0,0.0,1.0
528,3,9,82,2,0.0,0.352691199495,0.647308800505
529,3,9,93,2,0.0,0.334150166634,0.665849833366
530,3,10,11,2,0.867239128455,0.132760871545,0.0
531,3,10,22,2,0.0,0.0,1.0
532,3,10,23,2,0.0,0.0,1.0
533,4,0,1,1,0.0,0.0,1.0
534,4,0,1,2,0.0,0.0,1.0
535,4,0,1,3,0.0,0.0,1.0
536,4,0,2,1,0.0,0.0,1.0
537,4,0,2,3,0.0,0.0,1.0
538,4,0,4,1,0.0,0.0,1.0
539,4,0,4,4,0.0,0.0,1.0
540,4,3,22,1,0.0,0.0,1.0
541,4,3,25,1,0.0,0.0,1.0
542,4,3,31,1,0.0,0.0,1.0
543,4,3,41,1,0.0,0.0,1.0
544,4,3,53,1,0.0,0.0,1.0
545,4,3,91,1,0.0,0.0,1.0
546,4,4,11,1,0.0,1.0,0.0
547,4,4,21,1,0.0,0.0,1.0
548,4,4,22,1,0.0,0.0,1.0
549,4,4,23,1,0.0,0.0,1.0
550,4,4,24,1,0.0,0.0,1.0
551,4,4,25,1,0.0,0.0,1.0
552,4,4,31,1,0.0,0.103594231158,0.896405768842
553,4,4,41,1,0.0,0.0,1.0
554,4,4,42,1,0.0,0.0,1.0
555,4,4,43,1,0.0,0.0,1.0
556,4,4,53,1,0.0,0.0,1.0
557,4,4,72,1,0.0,0.0,1.0
558,4,4,73,1,0.0,0.0,1.0
559,4,4,91,1,0.0,0.0,1.0
560,4,4,93,1,0.0,0.312229862475,0.687770137525
561,4,5,21,1,0.0,0.0,1.0
562,4,5,22,1,0.0,0.0,1.0
563,4,5,23,1,0.0,0.657909967037,0.342090032963
564,4,5,24,1,0.0,0.0,1.0
565,4,5,25,1,0.0,0.0,1.0
566,4,5,26,1,0.0,0.712911568381,0.287088431619
567,4,5,41,1,0.0,0.250553895942,0.749446104058
568,4,5,43,1,0.0,0.0,1.0
569,4,5,52,1,0.0,0.0,1.0
570,4,5,53,1,0.0,0.0,1.0
571,4,5,54,1,0.0,0.0,1.0
572,4,5,72,1,0.0,0.0,1.0
573,4,5,73,1,0.0,0.0,1.0
574,4,5,82,1,0.0,0.171768950153,0.828231049847
575,4,5,93,1,0.0,0.204678078195,0.795321921805
576,4,6,21,1,0.0,0.0,1.0
577,4,6,22,1,0.0,0.0,1.0
578,4,6,23,1,0.0,0.0,1.0
579,4,6,24,1,0.0,0.0,1.0
580,4,6,25,1,0.0,0.0,1.0
581,4,6,26,1,0.0,0.0,1.0
582,4,6,31,1,0.0,0.0,1.0
583,4,6,41,1,0.0,0.0,1.0
584,4,6,42,1,0.0,1.0,0.0
585,4,6,43,1,0.0,0.0,1.0
586,4,6,52,1,0.0,0.0,1.0
587,4,6,53,1,0.0,0.0,1.0
588,4,6,54,1,0.0,0.0,1.0
589,4,6,72,1,0.0,0.0,1.0
590,4,6,73,1,0.0,0.0,1.0
591,4,6,82,1,0.0,0.0,1.0
592,4,6,83,1,0.0,0.0,1.0
593,4,6,91,1,0.0,0.0,1.0
594,4,8,83,2,0.0,0.0,1.0
595,4,8,91,2,0.0,0.0,1.0
596,4,9,23,2,0.0,0.0,1.0
597,4,9,82,2,0.0,0.542907151192,0.457092848808
598,4,10,11,2,0.756305509154,0.243694490846,0.0
599,4,10,22,2,0.0,1.0,0.0
600,5,0,3,1,0.0,0.0,1.0
601,5,0,4,1,0.0,0.0,1.0
602,5,6,21,1,0.0,0.0,1.0
603,5,6,22,1,0.0,0.865548961424,0.134451038576
604,5,6,23,1,0.0,0.379958306793,0.620041693207
605,5,6,24,1,0.0,0.0,1.0
606,5,6,31,1,0.0,0.0898666972907,0.910133302709
607,5,6,41,1,0.0,0.0,1.0
608,5,6,42,1,0.0,0.0,1.0
609,5,6,52,1,0.0,0.0,1.0
610,5,6,53,1,0.0,0.0,1.0
611,5,6,72,1,0.0,0.0,1.0
612,5,6,73,1,0.0,0.0,1.0
613,5,6,74,1,0.0,0.0,1.0
614,5,6,82,1,0.0,0.57459692285,0.42540307715
615,5,6,83,1,0.0,0.0,1.0
616,5,6,91,1,0.0,0.0,1.0
617,5,6,93,1,0.0,0.57612795345,0.42387204655
618,5,6,94,1,0.0,1.0,0.0
619,5,7,21,1,0.0,0.0,1.0
620,5,7,22,1,0.0,0.0,1.0
621,5,7,24,1,0.0,0.0,1.0
622,5,7,25,1,0.0,0.0,1.0
623,5,7,26,1,0.0,0.0,1.0
624,5,7,31,1,0.0,0.640819166915,0.359180833085
625,5,7,41,1,0.0,0.0,1.0
