code postal;code INSEE;nom commune (Poste);nom commune (ACOSS); AOT;taux;SMT;taux additionnel
01190;01337;ST BENIGNE                            ;;;;;
01300;01338;ST BENOIT                             ;;;;;
01600;01339;ST BERNARD                            ;ST BERNARD;COMMUNAUTE DE COMMUNES SAONE;0,5;;
01300;01340;ST BOIS                               ;;;;;
01300;01341;ST CHAMP                              ;;;;;
01120;01342;STE CROIX                             ;;;;;
01380;01343;ST CYR SUR MENTHON                    ;;;;;
01000;01344;ST DENIS LES BOURG                    ;ST DENIS LES BOURG;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01500;01345;ST DENIS EN BUGEY                     ;;;;;
01340;01346;ST DIDIER D AUSSIAT                   ;;;;;
01600;01347;ST DIDIER DE FORMANS                  ;ST DIDIER DE FORMANS;COMMUNAUTE DE COMMUNES SAONE;0,5;;
01140;01348;ST DIDIER SUR CHALARONNE              ;;;;;
01800;01349;ST ELOI                               ;;;;;
01370;01350;ST ETIENNE DU BOIS                    ;;;;;
01140;01351;ST ETIENNE SUR CHALARONNE             ;;;;;
01190;01352;ST ETIENNE SUR REYSSOUZE              ;;;;;
01600;01353;STE EUPHEMIE                          ;STE EUPHEMIE;COMMUNAUTE DE COMMUNES SAONE;0,5;;
01630;01354;ST GENIS POUILLY                      ;;;;;
01380;01355;ST GENIS SUR MENTHON                  ;;;;;
01400;01356;ST GEORGES SUR RENON                  ;;;;;
01130;01357;ST GERMAIN DE JOUX                    ;;;;;
01300;01358;ST GERMAIN LES PAROISSES              ;;;;;
01240;01359;ST GERMAIN SUR RENON                  ;;;;;
01630;01360;ST JEAN DE GONVILLE                   ;;;;;
01800;01361;ST JEAN DE NIOST                      ;;;;;
01390;01362;ST JEAN DE THURIGNEUX                 ;ST JEAN DE THURIGNEUX;COMMUNAUTE DE COMMUNES SAONE;0,5;;
01640;01363;ST JEAN LE VIEUX                      ;;;;;
01560;01364;ST JEAN SUR REYSSOUZE                 ;;;;;
01290;01365;ST JEAN SUR VEYLE                     ;;;;;
01150;01366;STE JULIE                             ;;;;;
01560;01367;ST JULIEN SUR REYSSOUZE               ;;;;;
01540;01368;ST JULIEN SUR VEYLE                   ;;;;;
01250;01369;ST JUST                               ;;;;;
01750;01370;ST LAURENT SUR SAONE                  ;ST LAURENT SUR SAONE;SITUM VAL DE SAONE;0,8;;
01390;01371;ST MARCEL                             ;;;;;
01510;01372;ST MARTIN DE BAVEL                    ;;;;;
01430;01373;ST MARTIN DU FRENE                    ;;;;;
01160;01374;ST MARTIN DU MONT                     ;;;;;
01310;01375;ST MARTIN LE CHATEL                   ;;;;;
01700;01376;ST MAURICE DE BEYNOST                 ;ST MAURICE DE BEYNOST;COMMUNAUTE DE COMMUNES DE MIRIBEL ET DU PLATEAU;0,6;;
01800;01378;ST MAURICE DE GOURDANS                ;;;;;
01500;01379;ST MAURICE DE REMENS                  ;;;;;
01560;01380;ST NIZIER LE BOUCHOUX                 ;;;;;
01320;01381;ST NIZIER LE DESERT                   ;;;;;
01330;01382;STE OLIVE                             ;;;;;
01240;01383;ST PAUL DE VARAX                      ;;;;;
01230;01384;ST RAMBERT EN BUGEY                   ;;;;;
01310;01385;ST REMY                               ;ST REMY;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01150;01386;ST SORLIN EN BUGEY                    ;;;;;
01340;01387;ST SULPICE                            ;;;;;
01560;01388;ST TRIVIER DE COURTES                 ;;;;;
01990;01389;ST TRIVIER SUR MOIGNANS               ;;;;;
01150;01390;ST VULBAS                             ;;;;;
01270;01391;SALAVRE                               ;;;;;
01580;01392;SAMOGNAT                              ;;;;;
01400;01393;SANDRANS                              ;;;;;
01150;01396;SAULT BRENAZ                          ;;;;;
01220;01397;SAUVERNY                              ;;;;;
01480;01398;SAVIGNEUX                             ;;;;;
01170;01399;SEGNY                                 ;;;;;
01470;01400;SEILLONNAZ                            ;;;;;
01630;01401;SERGY                                 ;;;;;
01190;01402;SERMOYER                              ;;;;;
01470;01403;SERRIERES DE BRIORD                   ;;;;;
01450;01404;SERRIERES SUR AIN                     ;;;;;
01960;01405;SERVAS                                ;SERVAS;COMMUNAUTE D'AGGLOMERATION DE BOURG;0,75;;
01560;01406;SERVIGNAT                             ;;;;;
01420;01407;SEYSSEL                               ;;;;;
